	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSDARG00000102102	266.7507481	-1.408576032	0.438859918	-3.209625609	0.00132908	0.06683916
ENSDARG00000071143	16.96731232	-5.575033552	1.738426228	-3.206942844	0.001341536	0.067251436
ENSDARG00000098270	81.68557578	-1.930590422	0.602438182	-3.20462826	0.00135237	0.067579994
ENSDARG00000061845	68.92057088	-2.069062613	0.647799547	-3.193985889	0.00140323	0.068866002
ENSDARG00000026540	6172.992271	-0.995623714	0.311738827	-3.19377514	0.001404255	0.068866002
ENSDARG00000019660	25.16479658	-3.749778766	1.174866601	-3.191663431	0.001414561	0.068866002
ENSDARG00000097035	128.0396668	-2.162404195	0.677595674	-3.191289848	0.001416391	0.068866002
ENSDARG00000079636	846.939308	-1.142580124	0.358052869	-3.191093331	0.001417355	0.068866002
ENSDARG00000076667	28805.9367	-1.032679282	0.32513738	-3.176132141	0.001492529	0.071419797
ENSDARG00000045304	1788.380264	-1.070870056	0.337353311	-3.174327981	0.001501839	0.071648147
ENSDARG00000039162	1787.97339	-1.217514589	0.38400498	-3.17056979	0.001521403	0.072362867
ENSDARG00000008936	2325.029655	-1.151348455	0.363974617	-3.163265795	0.001560098	0.073759016
ENSDARG00000097873	30.40625984	-3.475768109	1.101773162	-3.154703916	0.001606611	0.075198841
ENSDARG00000012390	1280.050019	-1.096989208	0.34788619	-3.153299099	0.001614363	0.075198841
ENSDARG00000045824	1240.998899	-1.200644329	0.381235587	-3.149350086	0.00163634	0.075553951
ENSDARG00000013335	95.84562344	-1.889337844	0.600756706	-3.144930094	0.001661265	0.076258834
ENSDARG00000037284	4299.003404	-1.047967757	0.333768289	-3.139806238	0.001690596	0.076934304
ENSDARG00000091280	310.3973852	-1.520443035	0.485407688	-3.132301102	0.001734419	0.078476248
ENSDARG00000089720	672.8559994	-1.266486093	0.405870976	-3.120415519	0.001805961	0.081016843
ENSDARG00000021753	977.8812891	-1.207467033	0.387096282	-3.119293802	0.001812851	0.081095552
ENSDARG00000100114	8971.521758	-0.977923995	0.313780914	-3.11658215	0.001829607	0.081613909
ENSDARG00000003860	6944.741687	-1.006820967	0.32315847	-3.11556422	0.001835934	0.081665433
ENSDARG00000076807	3925.525579	-1.048370123	0.33700421	-3.110851707	0.001865486	0.081882734
ENSDARG00000104942	61.95364417	-2.56491659	0.826150798	-3.104659097	0.001904984	0.082869448
ENSDARG00000036073	7248.988259	-1.083819634	0.349301677	-3.102818298	0.001916873	0.083157528
ENSDARG00000091062	10.68579023	-6.263669176	2.021397162	-3.098683076	0.001943828	0.083931259
ENSDARG00000099872	21.0080314	-4.065054262	1.312097692	-3.09813384	0.001947435	0.083931259
ENSDARG00000071741	269.2702137	-1.388794567	0.448389894	-3.097292299	0.001952972	0.083931259
ENSDARG00000061432	10.64077506	-6.258460797	2.022171205	-3.094921331	0.001968651	0.084246528
ENSDARG00000019986	15.38683374	-5.430612173	1.757003862	-3.090836788	0.001995933	0.084709919
ENSDARG00000075178	420.6467473	-1.293567172	0.418807992	-3.088687884	0.002010425	0.084709919
ENSDARG00000016481	995.2562835	-1.30627271	0.423265509	-3.086178019	0.002027474	0.085148514
ENSDARG00000102753	1242.615692	-1.132361511	0.367220775	-3.083598714	0.002045132	0.085579212
ENSDARG00000091524	38.97156926	-2.575227734	0.836781826	-3.077537843	0.002087183	0.085850303
ENSDARG00000042544	7450.433873	-1.149549426	0.373787578	-3.075408314	0.002102145	0.085850303
ENSDARG00000100990	149.013001	-1.723516236	0.560516861	-3.074869567	0.002105946	0.085850303
ENSDARG00000104762	273.5904759	-1.331218852	0.433017203	-3.074286293	0.002110068	0.085850303
ENSDARG00000088861	236.9291876	-1.337502651	0.4350813	-3.074144191	0.002111074	0.085850303
ENSDARG00000099845	232.6433467	-1.472592018	0.47923513	-3.072796472	0.002120631	0.085863792
ENSDARG00000074765	512.9502307	-1.214611479	0.395751066	-3.069130021	0.002146831	0.0865554
ENSDARG00000098582	242.2417409	-1.362006442	0.444170313	-3.066405842	0.00216649	0.086756777
ENSDARG00000102750	5282.053961	-0.95607357	0.312146681	-3.062898402	0.002192045	0.086756777
ENSDARG00000037556	10056.77099	-0.959003559	0.313145146	-3.062488982	0.002195046	0.086756777
ENSDARG00000045628	610.9014663	-1.117951822	0.365387683	-3.05963193	0.002216092	0.086756777
ENSDARG00000040854	3527.461492	-1.020634004	0.333640258	-3.059085286	0.002220139	0.086756777
ENSDARG00000107483	17.88095782	-4.809674713	1.57247665	-3.058662088	0.002223278	0.086756777
ENSDARG00000101418	20.44475367	-4.016739507	1.313339337	-3.058417115	0.002225096	0.086756777
ENSDARG00000003257	302.0649599	-1.314928487	0.430571193	-3.053916535	0.002258749	0.087304109
ENSDARG00000101978	277.1555142	-1.543838664	0.505582396	-3.053584693	0.002261249	0.087304109
